subject,body,sender,reply_to,urls,spf,dkim,dmarc,num_attachments,attachment_types,phishing_type,label
Password change confirmation (11),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Sales sync notes 27,Hi team — Jordan Singh captured notes from the sales sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-27,jordan@brightline.co,jordan@brightline.co,https://brightline.co/docs/sync-27,pass,pass,pass,0,,legitimate,legit
Reset your password,You requested a password reset. Use this official link if it was you. The link expires in 30 minutes: https://accounts.google.com/signin/recovery,no-reply@accounts.google.com,no-reply@accounts.google.com,https://accounts.google.com/signin/recovery,pass,pass,pass,0,,legitimate,legit
Microsoft 365 security alert,Unusual sign-in on your Microsoft 365 account. Mailbox will be disabled. Verify your username and password at http://office365-alert.top/login within 24 hours.,Microsoft 365 Alerts <no-reply@office365-alert.top>,Microsoft 365 Alerts <no-reply@office365-alert.top>,http://office365-alert.top/login,fail,fail,fail,0,,credential_harvesting,phishing
Engineering sync notes 25,Hi team — Morgan Patel captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-25,morgan@acme.com,morgan@acme.com,https://acme.com/docs/sync-25,pass,pass,pass,0,,legitimate,legit
Vendor payment 1802,Bank details changed this morning. Wire the outstanding balance using the new account in the attached spreadsheet. Do not use the old routing number.,accounts@vendor-pay2.top,wires@offbook2.gq,http://vendor-pay2.top/wire,fail,fail,fail,1,xlsm,invoice_fraud,phishing
Invoice from Amazon,"Please review the attached statement and confirm payment details. If the charge looks wrong, sign in at http://bit.ly/amazon-bill.",billing@amazon-statements.work,billing@amazon-statements.work,http://bit.ly/amazon-bill,softfail,fail,none,1,html,financial_scam,phishing
Invoice from Netflix,"Please review the attached statement and confirm payment details. If the charge looks wrong, sign in at http://bit.ly/netflix-bill.",billing@netflix-statements.work,billing@netflix-statements.work,http://bit.ly/netflix-bill,softfail,fail,none,1,html,financial_scam,phishing
Finance sync notes 5,Hi team — Avery Nguyen captured notes from the finance sync. Please review the ticket list and add estimates before Thursday. Doc: https://brightline.co/docs/sync-5,avery@brightline.co,avery@brightline.co,https://brightline.co/docs/sync-5,pass,pass,pass,0,,legitimate,legit
Password change confirmation (9),"Your password was changed successfully. If you did not do this, visit https://myaccount.google.com/security and sign in from a trusted device.",no-reply@accounts.google.com,no-reply@accounts.google.com,https://myaccount.google.com/security,pass,pass,pass,0,,legitimate,legit
Design sync notes 9,Hi team — Quinn Patel captured notes from the design sync. Please review the ticket list and add estimates before Thursday. Doc: https://harborlabs.io/docs/sync-9,quinn@harborlabs.io,quinn@harborlabs.io,https://harborlabs.io/docs/sync-9,pass,pass,pass,0,,legitimate,legit
Receipt for order #10005,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10005,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10005,pass,pass,pass,1,pdf,legitimate,legit
Mailbox quota exceeded (13),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.13.20/quota/login,mailadmin@quota-fix13.xyz,mailadmin@quota-fix13.xyz,http://10.4.13.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Engineering sync notes 8,Hi team — Riley Okoye captured notes from the engineering sync. Please review the ticket list and add estimates before Thursday. Doc: https://acme.com/docs/sync-8,riley@acme.com,riley@acme.com,https://acme.com/docs/sync-8,pass,pass,pass,0,,legitimate,legit
Receipt for order #10009,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10009,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10009,pass,pass,pass,1,pdf,legitimate,legit
Shared OneDrive folder,You have a new encrypted folder. Open http://login.microsoftonline.com.session-verify.tk/office to view it.,sharepoint@office365-mail.tk,sharepoint@office365-mail.tk,http://login.microsoftonline.com.session-verify.tk/office,fail,none,fail,0,,credential_harvesting,phishing
Receipt for order #10014,Thanks for your purchase. Your receipt is attached as a PDF. Track shipping at https://www.amazon.com/gp/your-account/order-history?order=10014,auto-confirm@amazon.com,auto-confirm@amazon.com,https://www.amazon.com/gp/your-account/order-history?order=10014,pass,pass,pass,1,pdf,legitimate,legit
Calendar: design critique Thursday 3pm,"Invited: you, Priya, and Sam. Location: Room 4B. Add a comment on the Figma file beforehand if you can.",calendar@acme.com,calendar@acme.com,https://calendar.acme.com/event/8841,pass,pass,pass,0,,legitimate,legit
Mailbox quota exceeded (20),Your inbox is over quota. Click here to keep receiving mail and enter your password: http://10.4.20.20/quota/login,mailadmin@quota-fix20.xyz,mailadmin@quota-fix20.xyz,http://10.4.20.20/quota/login,fail,none,fail,0,,credential_harvesting,phishing
Q3 budget spreadsheet,Attached is the latest budget workbook as a PDF. Please add comments before Friday's planning meeting.,finance@acme.com,finance@acme.com,,pass,pass,pass,1,pdf,legitimate,legit
